Дата,День недели,Время,Фильм,Кинотеатр
5 марта,Вторник,14:40,Кот и пёс,Нептун
5 марта,Вторник,16:20,Командир,Нептун
5 марта,Вторник,18:45,Лёд 3,Нептун
5 марта,Вторник,19:00,Театр в кино: Стиффелио,Океан IMAX
5 марта,Вторник,21:20,Лёд 3,Нептун
6 марта,Среда,10:00,Сезон охоты. Суперкоманда,Нептун
6 марта,Среда,11:35,Кот и пёс,Нептун
6 марта,Среда,13:15,Лонки – великий обманщик,Нептун
6 марта,Среда,14:40,Кот и пёс,Нептун
6 марта,Среда,16:20,Командир,Нептун
6 марта,Среда,18:45,Лёд 3,Нептун
6 марта,Среда,19:00,#АртЛекторийВкино: Босх: Сад сновидений,Уссури
6 марта,Среда,21:20,Лёд 3,Нептун
7 марта,Четверг,10:15,Онегин,Киномакс-Сапфир
7 марта,Четверг,13:10,Онегин,Киномакс-Сапфир
7 марта,Четверг,16:05,Онегин,Киномакс-Сапфир
7 марта,Четверг,19:00,Онегин,Киномакс-Сапфир
8 марта,Пятница,10:15,Онегин,Киномакс-Сапфир
8 марта,Пятница,13:10,Онегин,Киномакс-Сапфир
8 марта,Пятница,16:05,Онегин,Киномакс-Сапфир
8 марта,Пятница,19:00,Онегин,Киномакс-Сапфир
9 марта,Суббота,10:15,Онегин,Киномакс-Сапфир
9 марта,Суббота,13:10,Онегин,Киномакс-Сапфир
9 марта,Суббота,16:05,Онегин,Киномакс-Сапфир
9 марта,Суббота,19:00,Онегин,Киномакс-Сапфир
10 марта,Воскресенье,10:15,Онегин,Киномакс-Сапфир
10 марта,Воскресенье,13:10,Онегин,Киномакс-Сапфир
10 марта,Воскресенье,16:05,Онегин,Киномакс-Сапфир
10 марта,Воскресенье,19:00,Онегин,Киномакс-Сапфир
11 марта,Понедельник,19:00,Шоссе в никуда,Уссури
12 марта,Вторник,19:00,Чайка,Океан IMAX
18 марта,Понедельник,19:00,Цвет граната,Уссури
19 марта,Вторник,19:00,Йонас Кауфман: Арена ди Верона,Океан IMAX
20 марта,Среда,19:00,#АртЛекторийВкино: Тени Гойи,Уссури
